# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	211804
#@/user_id	linux
a 	啊	c=456 d=1.87061 t=211804
wu shi 	巫師	c=1 d=1 t=207667
wu shi 	武士	c=0 d=4.53507e-52 t=211804
wu shi 	無事	c=3 d=0.237489 t=211804
wu shi 	無視	c=4 d=7.73442e-08 t=211804
wu shi wu ke 	無時無刻	c=4 d=2.14929e-31 t=211804
wu shu 	巫術	c=3 d=0.000163743 t=211804
wu shu 	無數	c=6 d=9.40293e-12 t=211804
wu shuai jian 	無衰減	c=1 d=7.50967e-14 t=211804
wu si yun dong 	五四運動	c=1 d=3.93857e-39 t=211804
wu suo dun xing 	無所遁形	c=3 d=1.10699 t=184068
wu suo shi cong 	無所適從	c=3 d=0.0223708 t=211804
wu suo shi shi 	無所事事	c=1 d=0.000119165 t=211804
wu suo wei 	無所謂	c=3 d=8.40029e-09 t=211804
wu suo zuo wei 	無所作爲	c=1 d=6.44804e-15 t=211804
wu tai 	舞臺	c=1 d=5.75754e-06 t=211804
wu tian 	五天	c=1 d=2.33194e-20 t=211804
wu tiao jian 	無條件	c=2 d=1.86071 t=206546
wu tou gong an 	無頭公案	c=1 d=5.97704e-05 t=211804
wu tuo bang 	烏托邦	c=6 d=2.46765e-09 t=211804
wu wei 	五位	c=1 d=2.78227e-09 t=211804
wu wei 	無謂	c=1 d=5.19707e-07 t=211804
wu xi 	武戲	c=3 d=0.000881639 t=211804
wu xi sa 	無淅颯	c=1 d=1 t=177760
wu xia 	武俠	c=4 d=0.0250972 t=211804
wu xia 	無暇	c=1 d=0.202909 t=211804
wu xia ci 	無瑕疵	c=1 d=4.00218e-51 t=211804
wu xia xiao shuo 	武俠小說	c=1 d=0.00136037 t=211804
wu xian 	無線	c=5 d=0.0317456 t=211804
wu xian 	無限	c=16 d=0.000708341 t=211804
wu xian chang 	無限長	c=1 d=1 t=210815
wu xian da 	無限大	c=2 d=1.83946 t=194315
wu xian jing chang 	無限經常	c=4 d=1.00016 t=204632
wu xian jing du 	無限精度	c=1 d=4.13333e-48 t=211804
wu xiang tu 	無向圖	c=1 d=2.86788e-42 t=211804
wu xiao 	無效	c=5 d=0.895843 t=211804
wu xin 	無心	c=1 d=8.3786e-09 t=211804
wu xin 	誤信	c=1 d=1 t=186754
wu xing 	五行	c=1 d=8.13097e-08 t=211804
wu xing 	無形	c=0 d=0.00710054 t=211804
wu xing 	無星	c=2 d=1.97531 t=189877
wu xing zhi zhong 	無形之中	c=1 d=3.53203e-22 t=211804
wu xiu zhi 	無休止	c=1 d=1 t=182678
wu xu 	無需	c=7 d=0.07502 t=211804
wu ya 	烏鴉	c=18 d=1.05457e-12 t=211804
wu ya fan bu 	烏鴉反哺	c=1 d=2.25404e-32 t=211804
wu ya zhi li 	烏鴉治理	c=2 d=8.63496e-39 t=211804
wu ye 	五葉	c=21 d=3.57761e-11 t=211804
wu ye 	嗚咽	c=1 d=4.74154e-16 t=211804
wu ye 	物業	c=2 d=2.20183e-21 t=211804
wu yi 	無意	c=1 d=1.80362e-28 t=211804
wu yi 	無異	c=1 d=7.77584e-12 t=211804
wu yi 	無疑	c=4 d=0.222017 t=211804
wu yi 	無益	c=1 d=2.93958e-09 t=211804
wu yi wei 	誤以爲	c=2 d=1 t=197868
wu yi yi 	無意義	c=3 d=4.96923e-09 t=211804
wu yi yi de 	無意義的	c=1 d=6.96682e-43 t=211804
wu yi yu 	無異於	c=1 d=1 t=210011
wu yin bu quan 	五音不全	c=2 d=1.91393 t=208940
wu ying wu zong 	無影無蹤	c=1 d=1 t=209053
wu ying xiang 	無影響	c=1 d=4.10573e-28 t=211804
wu yong 	武勇	c=1 d=1.50938e-20 t=211804
wu yong 	無用	c=3 d=0.00615802 t=211804
wu yong 	誤用	c=2 d=1.27117 t=195326
wu yong zhi yi 	毋庸置疑	c=1 d=1 t=164527
wu you wu lv 	無憂無慮	c=1 d=1.54491e-29 t=211804
wu yu 	物慾	c=1 d=0.0102037 t=211804
wu yuan 	五元	c=0 d=2.24387e-68 t=211804
wu yuan heng 	武元衡	c=4 d=1 t=196413
wu yuan wu gu 	無緣無故	c=3 d=5.83244e-11 t=211804
wu yuan zu 	五元組	c=2 d=2.16559e-61 t=211804
wu yue 	五月	c=1 d=0.0042963 t=211804
wu zhan 	無棧	c=2 d=4.39729e-41 t=211804
wu zhang 	五張	c=1 d=0.00013845 t=211804
wu zhang ai 	無障礙	c=1 d=6.45222e-52 t=211804
wu zhi 	無知	c=1 d=1.27827e-06 t=211804
wu zhi 	物質	c=6 d=2.62658e-09 t=211804
wu zhi li yi 	物質利益	c=1 d=8.33796e-39 t=211804
wu zhi lin 	吳志林	c=4 d=4.98364e-08 t=211804
wu zhi shi jie 	物質世界	c=2 d=1.41866e-27 t=211804
wu zhi zai ti 	物質載體	c=1 d=2.63974e-08 t=211804
wu zhou 	五週	c=1 d=1.46e-11 t=211804
wu zhuang 	武裝	c=5 d=6.02562e-12 t=211804
wu zhuang bu 	武裝部	c=1 d=2.01684e-18 t=211804
wu zhuang zhe 	武裝者	c=1 d=9.72429e-25 t=211804
wu zi 	兀自	c=1 d=1 t=189896
wu zi 	無字	c=1 d=1 t=179566
wu zi 	物資	c=15 d=1.63719e-08 t=211804
wu zui 	無罪	c=3 d=5.20681e-29 t=211804
xi 	喜	c=1 d=1 t=209353
xi 	息	c=2 d=0.0692522 t=211804
xi 	戲	c=5 d=0.188816 t=211804
xi 	析	c=1 d=4.01077e-60 t=211804
xi 	洗	c=3 d=3.52051e-13 t=211804
xi 	稀	c=0 d=0.000278085 t=211804
xi 	系	c=32 d=0.00202943 t=211804
xi 	細	c=2 d=1.03435e-15 t=211804
xi 	習	c=3 d=0.000156102 t=211804
xi 	西	c=2 d=3.04377e-07 t=211804
xi ai 	喜愛	c=4 d=5.57996e-25 t=211804
xi an 	西安	c=0 d=1.71449e-20 t=211804
xi an shi bian 	西安事變	c=1 d=1 t=185546
xi bai po 	西柏坡	c=2 d=4.66141e-21 t=211804
xi ben 	戲本	c=1 d=7.35596e-06 t=211804
xi bu 	西部	c=3 d=2.94358e-25 t=211804
xi ce 	西側	c=2 d=1.77078e-22 t=211804
xi ci 	希茨	c=1 d=1.77581e-50 t=211804
xi ci 	系詞	c=1 d=1 t=190448
xi deng 	熄燈	c=2 d=7.92861e-36 t=211804
xi er bo te 	希爾伯特	c=2 d=6.4506e-38 t=211804
xi fang 	西方	c=23 d=0.472367 t=211804
xi fang guo jia 	西方國家	c=2 d=2.39893e-09 t=211804
xi fang shi jie 	西方世界	c=1 d=2.50494e-09 t=211804
xi fen 	戲份	c=1 d=7.39283e-06 t=211804
xi fen 	細分	c=2 d=7.35596e-06 t=211804
xi gua 	西瓜	c=0 d=0.1 t=177856
xi gua suo neng 	西瓜所能	c=1 d=1 t=177857
xi guan 	系館	c=1 d=0.806541 t=211804
xi guan 	習慣	c=22 d=0.0238732 t=211804
xi guan 	西館	c=1 d=7.54193e-35 t=211804
xi guan le 	習慣了	c=1 d=1.49483e-53 t=211804
xi han 	西漢	c=2 d=3.64376e-52 t=211804
xi hao 	喜好	c=1 d=1 t=183527
xi he 	羲和	c=1 d=1 t=189905
xi hua 	細化	c=1 d=1 t=199140
xi huan 	喜歡	c=48 d=0.122145 t=211804
xi ji 	系級	c=1 d=2.76783e-36 t=211804
xi ji 	襲擊	c=1 d=3.55083e-55 t=211804
xi jie 	細節	c=24 d=0.440216 t=211804
xi jin 	西晉	c=1 d=1 t=196405
xi jin ping 	習近平	c=19 d=6.23813e-08 t=211804
xi kan 	細看	c=1 d=2.44684e-27 t=211804
xi la 	希臘	c=7 d=1.69238e-25 t=211804
xi lang yan 	惜浪岩	c=1 d=1.25663e-11 t=211804
xi li 	犀利	c=1 d=2.34124e-08 t=211804
xi li 	系裏	c=32 d=0.289025 t=211804
xi li an pai 	系裏安排	c=1 d=0.000620491 t=211804
xi li du 	細粒度	c=5 d=1.14678e-30 t=211804
xi lie 	系列	c=11 d=0.00486835 t=211804
xi men 	西門	c=1 d=1 t=168747
xi mi 	戲迷	c=20 d=0.0728029 t=211804
xi mie 	熄滅	c=2 d=0.000490542 t=211804
xi na 	吸納	c=1 d=3.3012e-21 t=211804
xi nan 	西南	c=1 d=1 t=203701
xi nao 	洗腦	c=2 d=7.81215e-08 t=211804
xi nei 	系內	c=17 d=1.64737e-18 t=211804
xi ni 	細膩	c=1 d=0.546074 t=211804
xi nian 	昔年	c=1 d=1 t=155272
xi nong 	戲弄	c=2 d=1.07887 t=197374
xi ou 	戲偶	c=1 d=5.90631e-12 t=211804
xi ou 	西歐	c=2 d=2.81798e-12 t=211804
xi pai 	洗牌	c=3 d=2.11946e-43 t=211804
xi qi 	吸氣	c=2 d=6.8621e-08 t=211804
xi qi 	習氣	c=1 d=1 t=180586
xi qi yin 	吸氣音	c=3 d=1.67089e-07 t=211804
xi qing 	系慶	c=2 d=0.00431184 t=211804
xi qu 	吸取	c=5 d=0.774878 t=211804
xi qu 	戲曲	c=15 d=1.08818 t=211804
xi qu 	析取	c=5 d=4.85805e-58 t=211804
xi qu 	西區	c=2 d=7.82946e-34 t=211804
xi qu fan shi 	析取範式	c=15 d=2.26765e-44 t=211804
xi qu gong zuo zhe 	戲曲工作者	c=1 d=0.304221 t=211804
xi qu yi shu 	戲曲藝術	c=1 d=1.26577e-08 t=211804
xi qu zhi 	析取支	c=25 d=3.2019e-44 t=211804
xi ren 	喜人	c=1 d=4.0783e-08 t=211804
xi ri 	昔日	c=1 d=1.17671e-32 t=211804
xi ru 	吸入	c=2 d=4.09874e-08 t=211804
xi sa 	淅颯	c=0 d=0.1 t=177759
xi shao 	稀少	c=2 d=2.07791e-16 t=211804
xi sheng 	犧牲	c=9 d=0.187308 t=211804
xi sheng yi qie 	犧牲一切	c=1 d=4.48536e-39 t=211804
xi sheng zhe 	犧牲者	c=2 d=8.75625e-39 t=211804
xi shi 	吸食	c=1 d=1 t=184487
xi shi 	稀釋	c=1 d=0.0731678 t=211804
xi shi 	系史	c=3 d=2.79564e-18 t=211804
xi shi 	西式	c=1 d=4.77505e-40 t=211804
xi shi 	西施	c=1 d=1.72966e-05 t=211804
xi shou 	吸收	c=3 d=8.50812e-12 t=211804
xi shu 	係數	c=31 d=1 t=211804
xi shu 	悉數	c=1 d=1 t=187235
xi shu 	稀疏	c=7 d=2.05723e-16 t=211804
xi shu 	細數	c=2 d=1.96079 t=183539
xi shu hang 	稀疏行	c=1 d=5.83226e-40 t=211804
xi shu jian 	洗漱間	c=1 d=8.17008e-35 t=211804
xi shu ju zhen 	係數矩陣	c=3 d=1.6942e-26 t=211804
xi ti 	習題	c=7 d=0.918512 t=211804
xi ti 	西體	c=1 d=1.53956e-47 t=211804
xi ti jie xi 	習題解析	c=1 d=0.00421123 t=211804
xi ti ke 	習題課	c=2 d=2.90983e-07 t=211804
xi ting 	細聽	c=1 d=1.36812e-11 t=211804
xi tong 	系統	c=322 d=3.3397 t=211804
xi tong diao yong 	系統調用	c=19 d=0.0329965 t=211804
xi tong fen xi 	系統分析	c=5 d=0.666977 t=211804
xi tong ji 	系統級	c=2 d=7.84305e-25 t=211804
xi tong jie gou 	系統結構	c=7 d=1.02635e-05 t=211804
xi tong ling yu 	系統領域	c=1 d=1.44793e-31 t=211804
xi tong mo ren 	系統默認	c=1 d=2.33639e-13 t=211804
xi tong she ji 	系統設計	c=1 d=1.72063e-61 t=211804
xi tong wu cha 	系統誤差	c=1 d=1.00085e-10 t=211804
xi tong xi 	系統戲	c=1 d=2.11032e-51 t=211804
xi tong xing 	系統性	c=2 d=2.1209e-51 t=211804
xi wa 	錫瓦	c=0 d=3.96047e-17 t=211804
xi wa ang 	錫瓦卬	c=1 d=3.98032e-16 t=211804
xi wai 	戲外	c=2 d=5.23728e-08 t=211804
xi wang 	希望	c=125 d=0.947952 t=211804
xi wei 	稀微	c=3 d=0.752014 t=211804
xi wei 	細微	c=1 d=7.15292e-59 t=211804
xi wei de feng zhong 	稀微的風中	c=1 d=0.00279479 t=211804
xi xi 	細細	c=0 d=3.46504e-33 t=211804
xi xi xiang lai 	細細想來	c=1 d=3.4824e-32 t=211804
xi xi zhuo mo 	細細琢磨	c=1 d=1 t=186345
xi xiang 	細想	c=2 d=0.0124007 t=211804
xi xiang ji 	西廂記	c=1 d=0.0223708 t=211804
xi xiao men 	西校門	c=1 d=1 t=184863
xi xiao yan kai 	喜笑顏開	c=1 d=1 t=176021
xi xin 	悉心	c=2 d=1.2849e-08 t=211804
xi xing 	習性	c=3 d=6.86427e-45 t=211804
xi xing 	西行	c=1 d=1.09851 t=177187
xi xing man ji 	西行漫記	c=1 d=1 t=177185
xi xue gui 	吸血鬼	c=2 d=3.4753e-08 t=211804
xi yang 	夕陽	c=1 d=0.000101039 t=211804
xi yang jun 	夕陽君	c=1 d=4.62196e-39 t=211804
xi yang jun 	系楊俊	c=1 d=4.59891e-39 t=211804
xi yi ren sheng 	戲藝人生	c=1 d=0.0531307 t=211804
xi yin 	吸引	c=12 d=0.0572688 t=211804
xi yin le 	吸引了	c=1 d=1.79158e-07 t=211804
xi yin ren 	吸引人	c=1 d=3.88932e-38 t=211804
xi you 	系友	c=11 d=0.000184106 t=211804
xi you 	繫有	c=1 d=4.85051e-48 t=211804
xi zang 	西藏	c=1 d=1 t=172170
xi zhi 	細緻	c=4 d=0.458406 t=211804
xi zhi mo jie 	細枝末節	c=1 d=0.0297478 t=211804
xi zong shu ji 	習總書記	c=1 d=9.03394e-41 t=211804
xia 	下	c=229 d=0.773586 t=211804
xia 	俠	c=5 d=1.68758e-09 t=211804
xia 	狹	c=1 d=1 t=189600
xia ba 	下巴	c=1 d=0.00708341 t=211804
xia ban 	下半	c=1 d=0.000468957 t=211804
xia ban 	下班	c=0 d=0.0384812 t=211804
xia ban chang 	下半場	c=3 d=1.97531 t=175955
xia ban nian 	下半年	c=2 d=0.000757869 t=211804
xia ban zhi hou 	下班之後	c=1 d=0.386741 t=211804
xia biao 	下標	c=5 d=0.740818 t=211804
xia biao 	下表	c=3 d=5.99145e-22 t=211804
xia bu 	夏布	c=1 d=1 t=211587
xia ceng 	下層	c=4 d=2.9834e-36 t=211804
xia chang 	下場	c=2 d=4.38757e-15 t=211804
xia che 	下車	c=1 d=9.55479e-24 t=211804
xia chen 	下沉	c=1 d=1.36074e-65 t=211804
xia chi 	下齒	c=0 d=1.7042e-08 t=211804
xia chui 	下垂	c=2 d=0.242926 t=211804
xia chun 	下脣	c=2 d=3.14827e-07 t=211804
xia ci 	下次	c=5 d=3.80517e-16 t=211804
xia ci ba 	下次吧	c=1 d=1 t=166366
xia dan 	下單	c=1 d=1 t=160817
xia die 	下跌	c=1 d=6.28884e-15 t=211804
xia du 	下毒	c=2 d=6.16684e-19 t=211804
xia e 	下顎	c=1 d=1 t=154319
xia fa 	下發	c=14 d=8.02792e-05 t=211804
xia fang 	下方	c=3 d=2.92691e-17 t=211804
xia gang 	下崗	c=3 d=1.07409e-24 t=211804
xia ge 	下個	c=1 d=2.15522e-34 t=211804
xia gu 	峽谷	c=1 d=1 t=189737
xia gui 	下跪	c=1 d=1 t=189623
xia hu 	嚇唬	c=1 d=4.38907e-19 t=211804
xia hua 	下滑	c=3 d=5.49185e-09 t=211804
xia huan 	下浣	c=1 d=1.70885e-39 t=211804
xia ji 	下級	c=2 d=5.69038e-15 t=211804
xia ji 	下集	c=0 d=0.000198925 t=211804
xia ji 	夏季	c=0 d=9.69888e-54 t=211804
xia ji xue qi 	夏季學期	c=2 d=2.14374e-30 t=211804
xia jia 	下架	c=1 d=1 t=209854
xia jiang 	下降	c=22 d=0.0809278 t=211804
xia jiang fa 	下降法	c=1 d=1.12942e-20 t=211804
xia jiang yan 	下降沿	c=1 d=8.51681e-24 t=211804
xia jie 	下界	c=10 d=0.000860854 t=211804
xia jin si 	下近似	c=26 d=1.56228 t=211497
xia jue ding 	下決定	c=1 d=0.00216573 t=211804
xia jue xin 	下決心	c=1 d=1 t=185655
xia ke 	下課	c=1 d=1 t=172807
xia ke 	俠客	c=1 d=0.0156076 t=211804
xia la 	下拉	c=2 d=1.21007e-08 t=211804
xia la cai dan 	下拉菜單	c=2 d=2.23215e-07 t=211804
xia lai 	下來	c=24 d=0.213312 t=211804
xia le 	下了	c=2 d=0.181772 t=211804
xia liao 	下寮	c=1 d=1 t=196389
xia lie 	下列	c=7 d=1.32106e-11 t=211804
xia ling ying 	夏令營	c=7 d=1.95052e-07 t=211804
xia liu 	下流	c=1 d=2.92781e-50 t=211804
xia luo ke 	夏洛克	c=1 d=0.00491728 t=211804
xia mian 	下面	c=54 d=0.308819 t=211804
xia qu 	下去	c=17 d=0.0222017 t=211804
xia qu 	轄區	c=1 d=1 t=187994
xia qu kan kan 	下去看看	c=1 d=5.66682e-25 t=211804
xia ren 	嚇人	c=1 d=2.03185e-17 t=211804
xia san jiao 	下三教	c=1 d=3.57299e-40 t=211804
xia shan 	下山	c=2 d=0.452766 t=211804
xia shang zhou 	夏商周	c=1 d=2.3618e-52 t=211804
xia shao 	俠少	c=1 d=0.0159229 t=211804
xia shi 	下式	c=7 d=0.0169922 t=211804
xia tu 	下圖	c=7 d=0.0605152 t=211804
xia wen 	下文	c=1 d=2.93698e-28 t=211804
xia wu 	下午	c=49 d=0.465371 t=211804
xia xia 	下下	c=1 d=1 t=165358
xia xia lai 	下下來	c=1 d=1 t=164839
xia xia zhou 	下下週	c=2 d=1 t=168293
xia xian 	下線	c=2 d=0.0217792 t=211804
xia xian 	下限	c=2 d=5.96364e-08 t=211804
xia xiang 	遐想	c=1 d=1.41415e-18 t=211804
xia xiao 	狹小	c=1 d=1.29328e-55 t=211804
xia xue qi 	下學期	c=7 d=0.99007 t=211804
xia xun 	下旬	c=0 d=0.0138069 t=211804
xia yi 	下一	c=1 d=1.64984e-09 t=211804
xia yi 	下溢	c=0 d=1.3814e-08 t=211804
xia yi 	狹義	c=1 d=2.46128e-08 t=211804
xia yi bu 	下一步	c=4 d=0.00816756 t=211804
xia yi chu 	下溢出	c=1 d=1.65383e-07 t=211804
xia yi ci 	下一次	c=4 d=0.0765355 t=211804
xia yi ge 	下一個	c=10 d=0.000483239 t=211804
xia yi ge ba 	下一個吧	c=1 d=4.75867e-29 t=211804
xia yi ge shu 	下一個數	c=1 d=1.34281e-56 t=211804
xia yi ji 	下一級	c=4 d=4.26669e-39 t=211804
xia yi lie 	下一列	c=2 d=1.80706e-20 t=211804
xia yi lun 	下一輪	c=1 d=1.27914e-14 t=211804
xia yi ren 	下一任	c=1 d=0.00887071 t=211804
xia yi shi 	下意識	c=1 d=4.53429e-49 t=211804
xia yi shi jian 	下一時間	c=1 d=1 t=202592
xia yi shou 	下一首	c=1 d=1.72666e-14 t=211804
xia yi tiao 	下一跳	c=2 d=3.52763e-08 t=211804
xia yi xue nian 	下一學年	c=1 d=3.60265e-49 t=211804
xia yi zhan 	下一站	c=1 d=3.0254e-24 t=211804
xia yi zhi 	下一支	c=1 d=1 t=173707
xia yi zhi 	下溢值	c=2 d=3.07556e-07 t=211804
xia you 	下游	c=1 d=7.56553e-61 t=211804
xia you lu you qi 	下游路由器	c=1 d=7.29866e-61 t=211804
xia yu 	下雨	c=6 d=1.34729e-07 t=211804
xia zai 	下載	c=35 d=0.0645736 t=211804
xia zai you xi 	下載遊戲	c=1 d=0.00348252 t=211804
xia zang 	下葬	c=1 d=3.31719e-19 t=211804
xia zhao 	下着	c=0 d=3.2718e-05 t=211804
xia zhao le 	下着了	c=1 d=0.00032882 t=211804
xia zhe teng 	瞎折騰	c=3 d=0.006913 t=211804
xia zhi 	下肢	c=1 d=8.08302e-56 t=211804
xia zhou 	下週	c=35 d=0.0162445 t=211804
xia zhou er 	下週二	c=1 d=1 t=157465
xia zhou ri 	下週日	c=1 d=1 t=169342
xia zhou san 	下週三	c=1 d=1 t=168810
xia zhou si 	下週四	c=1 d=1 t=166909
xia zhou yi 	下週一	c=3 d=4.46447e-05 t=211804
xia zhu 	嚇住	c=1 d=4.31315e-49 t=211804
xian 	仙	c=4 d=0.0223708 t=211804
xian 	先	c=166 d=0.146253 t=211804
xian 	弦	c=2 d=1.7827 t=194798
xian 	現	c=2 d=1.77158e-22 t=211804
xian 	線	c=9 d=0.108089 t=211804
xian 	賢	c=1 d=4.74073e-14 t=211804
xian 	限	c=4 d=0.000198542 t=211804
xian 	險	c=1 d=9.45458e-47 t=211804
xian 	顯	c=0 d=4.47926e-24 t=211804
xian 	鮮	c=0 d=0.1 t=184362
xian 	鹹	c=1 d=1 t=208818
xian ba 	先把	c=6 d=0.00167826 t=211804
xian bei 	先輩	c=1 d=4.84391e-32 t=211804
xian ben se 	顯本色	c=1 d=4.50171e-23 t=211804
xian bi jiao 	先比較	c=1 d=1.18591e-06 t=211804
xian bu guan 	先不管	c=3 d=2.61392e-10 t=211804
xian bu shuo 	先不說	c=2 d=1 t=182526
xian chang 	現場	c=46 d=0.00427488 t=211804
xian chang 	線長	c=10 d=1.81151e-52 t=211804
xian chang ren yuan 	現場人員	c=1 d=1 t=170972
xian cheng 	現成	c=3 d=1.04656e-06 t=211804
xian cheng 	線程	c=46 d=1.04134e-06 t=211804
xian chu 	先出	c=1 d=1.01473e-25 t=211804
xian cun 	現存	c=1 d=3.5725e-09 t=211804
xian cun 	顯存	c=1 d=3.55468e-09 t=211804
xian dai 	現代	c=25 d=0.00134911 t=211804
xian dai bu dai xi 	現代布袋戲	c=1 d=1.21007e-08 t=211804
xian dai han yu 	現代漢語	c=7 d=1 t=199326
xian dai hua 	現代化	c=6 d=0.00158052 t=211804
xian dai shi 	現代史	c=0 d=1.18878e-06 t=211804
xian dai shi e hui 	現代史堊灰	c=1 d=1.19474e-05 t=211804
xian dao 	先到	c=0 d=9.03885e-19 t=211804
xian de 	顯得	c=6 d=0.01649 t=211804
xian dei 	先得	c=1 d=2.02798e-24 t=211804
xian diao ru 	先調入	c=1 d=8.11524e-44 t=211804
xian ding 	限定	c=9 d=0.0885094 t=211804
xian ding ci 	限定詞	c=3 d=1 t=195021
xian ding si 	限定死	c=1 d=0.0154523 t=211804
xian du 	先讀	c=1 d=5.90712e-43 t=211804
xian du 	限度	c=4 d=0.0611149 t=211804
xian du hou xie 	先讀後寫	c=1 d=1.20876e-54 t=211804
xian duan 	線段	c=0 d=0.000708341 t=211804
xian duan shu 	線段樹	c=31 d=0.113455 t=211804
xian e 	限額	c=1 d=4.06142e-18 t=211804
xian fa 	憲法	c=3 d=1.47155e-06 t=211804
xian feng 	先鋒	c=0 d=3.19863e-33 t=211804
xian feng 	線縫	c=1 d=1 t=180458
xian feng dui 	先鋒隊	c=2 d=1.65112e-37 t=211804
xian feng mo fan 	先鋒模範	c=2 d=6.5773e-32 t=211804
xian fu 	先富	c=0 d=1.2616e-29 t=211804
xian fu dai dong 	先富帶動	c=1 d=1.26793e-28 t=211804
xian gei 	先給	c=2 d=3.54852e-18 t=211804
xian guan 	縣官	c=4 d=1.17775e-13 t=211804
xian guang 	閒逛	c=2 d=6.59006e-66 t=211804
xian he 	仙鶴	c=1 d=1 t=199081
xian hou 	先後	c=6 d=5.87997e-18 t=211804
xian huan 	弦環	c=1 d=1.14011e-72 t=211804
xian hui qu 	先回去	c=0 d=1.70652e-24 t=211804
xian jian 	仙劍	c=6 d=6.68931e-06 t=211804
xian jian qi xia zhuan 	仙劍奇俠傳	c=3 d=8.05007e-08 t=211804
xian jie duan 	現階段	c=4 d=1.04599e-29 t=211804
xian jin 	先進	c=16 d=0.22764 t=211804
xian jin 	現今	c=3 d=1 t=183882
xian jin 	現金	c=4 d=0.00096827 t=211804
xian jin xian chu 	先進先出	c=3 d=8.43781e-32 t=211804
xian jin xing 	先進性	c=4 d=3.60031e-12 t=211804
xian jing 	仙境	c=1 d=0.839457 t=211804
xian jue 	先決	c=1 d=1 t=192671
xian jue tiao jian 	先決條件	c=1 d=2.75693e-19 t=211804
xian ka 	顯卡	c=1 d=4.85909e-10 t=211804
xian kan 	先看	c=0 d=6.18197e-79 t=211804
xian kan ti 	先看題	c=1 d=6.21296e-78 t=211804
xian lai 	先來	c=1 d=1.85054e-35 t=211804
xian liang 	限量	c=0 d=2.73508e-44 t=211804
xian liang li 	鮮亮麗	c=1 d=1 t=184363
xian liao 	閒聊	c=1 d=0.574072 t=211804
xian lie 	先烈	c=1 d=1 t=187118
xian liu le 	先溜了	c=1 d=2.81654e-06 t=211804
xian lu 	線路	c=5 d=6.4508e-50 t=211804
xian lu 	顯露	c=1 d=3.08212e-66 t=211804
xian luo 	陷落	c=2 d=1.17247e-19 t=211804
xian men 	陷門	c=2 d=1.74794e-11 t=211804
xian ming 	鮮明	c=1 d=0.0163259 t=211804
xian mu 	羨慕	c=10 d=0.000531398 t=211804
xian mu gui 	羨慕歸	c=1 d=1 t=198191
xian qi 	掀起	c=2 d=0.0343896 t=211804
xian qin 	先秦	c=1 d=3.18495e-11 t=211804
xian qing 	險情	c=1 d=2.39016e-16 t=211804
xian qing yi zhi 	閒情逸致	c=1 d=0.66034 t=211804
xian qu 	先去	c=7 d=4.08561e-13 t=211804
xian qu 	先驅	c=1 d=1 t=165858
xian que ding 	先確定	c=1 d=1 t=189445
xian ran 	顯然	c=37 d=0.432173 t=211804
xian rang 	先讓	c=1 d=1 t=157491
xian ren 	現任	c=3 d=2.21935e-26 t=211804
xian ren 	線人	c=1 d=2.13124e-20 t=211804
xian ru 	先入	c=1 d=1.00967e-25 t=211804
xian ru 	陷入	c=3 d=4.45085e-07 t=211804
xian ru jiang ju 	陷入僵局	c=1 d=1.58623e-16 t=211804
xian san 	閒散	c=1 d=1.26293e-11 t=211804
xian shang 	獻上	c=1 d=1 t=187217
xian shang 	線上	c=35 d=0.634518 t=211804
xian shang kao 	線上考	c=1 d=0.000696112 t=211804
xian shang ping tai 	線上平臺	c=1 d=1 t=208094
xian shang shi 	先上市	c=1 d=0.0115624 t=211804
xian shao 	鮮少	c=2 d=1.41878e-27 t=211804
xian shen 	獻身	c=1 d=1 t=180979
xian sheng 	先生	c=24 d=0.0694785 t=211804
xian sheng duo ren 	先聲奪人	c=1 d=0.0166557 t=211804
xian shi 	仙逝	c=1 d=1 t=178294
xian shi 	先是	c=6 d=0.0784731 t=211804
xian shi 	現世	c=4 d=7.40952e-29 t=211804
xian shi 	現實	c=26 d=0.00556426 t=211804
xian shi 	閒時	c=1 d=0.57695 t=211804
xian shi 	限時	c=2 d=1 t=205711
xian shi 	顯式	c=20 d=0.198165 t=211804
xian shi 	顯示	c=101 d=0.980199 t=211804
xian shi bu chu lai 	顯示不出來	c=1 d=2.98594e-46 t=211804
xian shi chu 	顯示出	c=1 d=5.66585e-23 t=211804
xian shi dai 	現時代	c=1 d=0.421052 t=211804
xian shi de 	顯示的	c=1 d=0.211189 t=211804
xian shi qi 	顯示器	c=3 d=0.562705 t=211804
xian shi shi 	先試試	c=1 d=7.12134e-07 t=211804
xian shi shi jie 	現實世界	c=1 d=4.14064e-10 t=211804
xian shi xi tong 	顯示系統	c=1 d=5.15149e-21 t=211804
xian shi zhong 	現實中	c=1 d=1 t=209794
xian shi zhu yi 	現實主義	c=2 d=0.00148848 t=211804
xian shou zhe 	先收着	c=1 d=4.53661e-55 t=211804
xian shou zhe ba 	先收着吧	c=1 d=4.25111e-55 t=211804
xian shu 	嫺熟	c=2 d=0.0273237 t=211804
xian shuo 	先說	c=2 d=9.44684e-08 t=211804
xian suo 	線索	c=6 d=0.085655 t=211804
xian tan suo 	線探索	c=1 d=3.9528e-52 t=211804
xian tian 	先天	c=2 d=0.000135032 t=211804
xian tiao 	線條	c=2 d=1 t=185419
xian wai yi yin 	絃外遺音	c=1 d=0.121238 t=211804
