# Rime user dictionary
#@/db_name	hzl_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	36939
#@/user_id	linusboyle
a 	啊	c=48 d=1.87061 t=36939
wang le 	忘了	c=1 d=0.000995182 t=36939
wang luo 	網絡	c=8 d=0.612626 t=36939
wang luo cuo wu 	網絡錯誤	c=1 d=1 t=28509
wang luo wen ti 	網絡問題	c=1 d=1 t=36758
wang luo xue tang 	網絡學堂	c=1 d=1 t=34742
wang pai 	王牌	c=2 d=3.84432e-11 t=36939
wang que 	忘卻	c=3 d=0.980199 t=36939
wang shang 	往上	c=1 d=1 t=32034
wang shang 	網上	c=4 d=0.0780817 t=36939
wang sheng yuan 	王生原	c=1 d=1 t=33748
wang shi 	往事	c=10 d=0.813245 t=36939
wang wang 	往往	c=1 d=1 t=32536
wang xuan 	王宣	c=0 d=1.16263e-09 t=36939
wang xuan run 	王宣潤	c=1 d=1.16845e-08 t=36939
wang yi han 	王藝涵	c=1 d=1.1802e-08 t=36939
wang you 	網遊	c=1 d=1.61773e-12 t=36939
wang zhan 	網站	c=1 d=1.29826e-12 t=36939
wang zhe 	王者	c=7 d=2.759 t=36939
wang zhe feng yun 	王者風雲	c=2 d=0.576318 t=36939
wang zhe rong yao 	王者榮耀	c=1 d=0.00869506 t=36939
wei 	位	c=18 d=0.00364281 t=36939
wei 	僞	c=0 d=0.1 t=36182
wei 	尾	c=1 d=0.015808 t=36939
wei 	微	c=0 d=0.100002 t=35559
wei 	未	c=2 d=1.46657e-06 t=36939
wei 	爲	c=167 d=1.41447 t=36939
wei 	維	c=1 d=0.00160829 t=36939
wei an 	微安	c=0 d=0.0486752 t=36939
wei an biao 	微安表	c=3 d=1.57603 t=36939
wei bei 	未被	c=0 d=1.98478e-07 t=36939
wei bei shi yong 	未被使用	c=1 d=1.99473e-06 t=36939
wei bo 	微博	c=2 d=1.60442e-11 t=36939
wei bo ke 	微博客	c=1 d=1.18938e-11 t=36939
wei bu xian zhi 	未卜先知	c=1 d=0.0274607 t=36939
wei chang bu ke 	未嘗不可	c=1 d=5.45035e-08 t=36939
wei chi 	維持	c=11 d=0.0273237 t=36939
wei ci 	爲此	c=1 d=0.00148848 t=36939
wei dai ma 	僞代碼	c=2 d=1.01515 t=35578
wei dao 	味道	c=4 d=0.814588 t=36939
wei de 	微的	c=0 d=0.000278085 t=36939
wei ding 	未定	c=1 d=6.91087e-07 t=36939
wei du 	圍堵	c=1 d=1.45222e-07 t=36939
wei fen fang cheng 	微分方程	c=1 d=0.00946646 t=36939
wei feng bu ge 	爲鳳布歌	c=1 d=1.23792e-11 t=36939
wei gong xiang 	僞共享	c=5 d=1.85077 t=36930
wei guan 	圍觀	c=1 d=5.67375e-10 t=36939
wei guan 	微觀	c=1 d=1 t=32773
wei hai xing 	危害性	c=1 d=2.52402e-10 t=36939
wei he 	爲何	c=1 d=1.56155e-08 t=36939
wei hu 	維護	c=2 d=0.167132 t=36939
wei ji 	危機	c=4 d=2.35684e-05 t=36939
wei ji bai ke 	維基百科	c=1 d=0.00143012 t=36939
wei kai 	未開	c=0 d=0.0869358 t=36939
wei kai qi 	未開啓	c=2 d=1.78309 t=36939
wei kong 	爲空	c=1 d=9.75808e-07 t=36939
wei kuan 	位寬	c=1 d=1 t=36031
wei lai 	未來	c=11 d=0.044838 t=36939
wei lai sheng huo 	未來生活	c=1 d=0.379083 t=36939
wei le 	爲了	c=20 d=1.28848 t=36939
wei lian jie 	未連接	c=1 d=1.26642e-14 t=36939
wei lie 	僞劣	c=1 d=8.74013e-05 t=36939
wei liu kong 	微流控	c=6 d=4.53568e-05 t=36939
wei ma 	僞碼	c=3 d=1.76441 t=35644
wei mi 	微米	c=2 d=0.000141244 t=36939
wei mian 	未免	c=1 d=0.704688 t=36939
wei ou 	圍毆	c=1 d=8.46281e-08 t=36939
wei qi 	圍棋	c=2 d=1.49411 t=34930
wei qing 	爲情	c=3 d=1.20001 t=36939
wei rao 	圍繞	c=1 d=1.74764e-09 t=36939
wei ren 	爲人	c=2 d=0.0281559 t=36939
wei sha 	爲啥	c=3 d=0.000550447 t=36939
wei sha long 	微沙龍	c=2 d=1.14734 t=33754
wei shan 	僞善	c=1 d=1 t=31809
wei shen 	爲什	c=1 d=2.05122e-11 t=36939
wei shen me 	爲什麼	c=10 d=0.364219 t=36939
wei shu 	位數	c=4 d=8.21129e-06 t=36939
wei ta 	爲他	c=1 d=0.0051953 t=36939
wei ti 	爲題	c=1 d=0.00835412 t=36939
wei tiao 	微調	c=1 d=1.84708e-13 t=36939
wei tu 	位圖	c=3 d=0.0106202 t=36939
wei wu zhu yi 	唯物主義	c=1 d=8.8967e-08 t=36939
wei xi mi 	爲戲迷	c=1 d=1.80958e-07 t=36939
wei xian 	危險	c=1 d=0.0127784 t=36939
wei xiang mu 	微項目	c=1 d=1 t=35560
wei xiao 	微笑	c=2 d=2.81165e-07 t=36939
wei xie 	威脅	c=2 d=0.000479822 t=36939
wei xin 	微信	c=10 d=0.995012 t=36939
wei xin 	違心	c=1 d=1 t=33095
wei xin gong zhong hao 	微信公衆號	c=1 d=1.64984e-08 t=36939
wei xin qun 	微信羣	c=1 d=1.11453e-11 t=36939
wei yan zheng 	爲驗證	c=1 d=1 t=28499
wei yi 	唯一	c=3 d=0.264477 t=36939
wei yi ti 	爲一體	c=1 d=9.09837e-07 t=36939
wei yi yi ge 	惟一一個	c=1 d=0.0403566 t=36939
wei you 	唯有	c=1 d=1.87015e-12 t=36939
wei yu 	位於	c=3 d=0.00522513 t=36939
wei yu qi 	未預期	c=1 d=1.47392e-05 t=36939
wei yun suan 	位運算	c=2 d=0.000192465 t=36939
wei zhao dao 	未找到	c=1 d=1 t=30922
wei zhe xie 	爲這些	c=1 d=2.59417e-09 t=36939
wei zhi 	位置	c=14 d=0.102284 t=36939
wei zhi 	未知	c=13 d=0.878104 t=36939
wei zhi 	爲之	c=1 d=1 t=32841
wei zhi cuo wu 	未知錯誤	c=1 d=0.0095616 t=36939
wei zhi zhen 	尾指針	c=1 d=0.0204453 t=36939
wei zhuang 	僞裝	c=5 d=0.293573 t=36939
wei zi ji 	爲自己	c=1 d=2.56748e-05 t=36939
wen 	文	c=3 d=2.77539e-06 t=36939
wen ben 	文本	c=0 d=0.0423162 t=36939
wen ben shu ru 	文本輸入	c=1 d=8.50667e-10 t=36939
wen bi 	文筆	c=1 d=0.000399619 t=36939
wen biao 	溫標	c=1 d=6.75999e-12 t=36939
wen bu 	穩步	c=2 d=1.99005 t=30885
wen ci 	文辭	c=2 d=0.50409 t=36939
wen dang 	文檔	c=12 d=1.33603e-05 t=36939
wen ding 	穩定	c=7 d=0.0871643 t=36939
wen ding hou 	穩定後	c=1 d=0.0804596 t=36939
wen du 	溫度	c=32 d=1.46652 t=36939
wen du chuan gan qi 	溫度傳感器	c=1 d=5.14711e-11 t=36939
wen du ji 	溫度計	c=3 d=0.673695 t=36939
wen he 	溫和	c=1 d=1 t=33311
wen hua 	文化	c=8 d=0.158545 t=36939
wen hua shan 	文化衫	c=5 d=3.82748 t=33664
wen i 	文i	c=1 d=0.00565622 t=36939
wen jian 	文件	c=50 d=1.72117 t=36939
wen jian ceng ci 	文件層次	c=1 d=3.76411e-06 t=36939
wen jian da xiao 	文件大小	c=1 d=8.96902e-15 t=36939
wen jian jia 	文件夾	c=5 d=3.70807e-06 t=36939
wen jian lei xing 	文件類型	c=4 d=8.63502e-06 t=36939
wen jian ming 	文件名	c=3 d=2.41223e-13 t=36939
wen jian shang chuan 	文件上傳	c=1 d=1.18325e-09 t=36939
wen jian xi tong 	文件系統	c=2 d=1.52326e-10 t=36939
wen ming 	文明	c=1 d=6.08618e-12 t=36939
wen ren 	文人	c=1 d=1.62136e-09 t=36939
wen ri 	文日	c=1 d=0.000437252 t=36939
wen rou 	溫柔	c=1 d=1 t=32009
wen rui an 	溫瑞安	c=3 d=3.08505e-05 t=36939
wen run 	溫潤	c=1 d=1.00068e-08 t=36939
wen ti 	問題	c=86 d=2.62879 t=36939
wen ti hen yan zhong 	問題很嚴重	c=1 d=8.25245e-06 t=36939
wen ti lai le 	問題來了	c=1 d=1.81896e-09 t=36939
wen ti shi 	問題是	c=1 d=1 t=35481
wen tie jun 	溫鐵軍	c=1 d=1.34729e-07 t=36939
wen wen 	問問	c=1 d=1 t=36800
wen wu 	文物	c=1 d=1.13941e-06 t=36939
wen xian 	文獻	c=1 d=1 t=36411
wen xue 	文學	c=1 d=1 t=31681
wen yi 	文藝	c=4 d=0.00361701 t=36939
wen yuan 	文苑	c=1 d=0.0690734 t=36939
wen yuan jun huang 	文苑君皇	c=1 d=0.694197 t=36939
wen zhang 	文章	c=35 d=0.722527 t=36939
wen zhang le 	文章了	c=1 d=1 t=35337
wen zi 	文字	c=7 d=4.80992e-08 t=36939
wo 	我	c=54 d=0.475211 t=36939
wo ben 	我本	c=0 d=0.0341298 t=36939
wo ben shen 	我本身	c=1 d=1.97012e-07 t=36939
wo ben shi 	我本是	c=1 d=0.343009 t=36939
wo bi jiao 	我比較	c=3 d=0.172907 t=36939
wo bi xu 	我必須	c=2 d=0.148823 t=36939
wo bian 	我便	c=1 d=1.84645e-09 t=36939
wo biao shi 	我表示	c=1 d=4.04955e-13 t=36939
wo bing bu neng 	我並不能	c=1 d=0.000401622 t=36939
wo bing mei you 	我並沒有	c=3 d=4.26529e-06 t=36939
wo bu dong a 	我不懂啊	c=1 d=1 t=28696
wo bu hui 	我不會	c=1 d=4.84572e-07 t=36939
wo bu neng 	我不能	c=1 d=0.128735 t=36939
wo bu neng dai biao 	我不能代表	c=1 d=0.00278085 t=36939
wo bu neng tan lun 	我不能談論	c=1 d=3.02859e-07 t=36939
wo bu qing chu 	我不清楚	c=1 d=7.67467e-05 t=36939
wo bu tai 	我不太	c=1 d=1 t=28981
wo bu xi huan 	我不喜歡	c=1 d=6.9623e-06 t=36939
wo bu xi wang 	我不希望	c=1 d=1.78264e-07 t=36939
wo bu xiang 	我不想	c=1 d=0.436049 t=36939
wo bu yong 	我不用	c=1 d=9.3287e-07 t=36939
wo bu zai 	我不再	c=1 d=0.00133343 t=36939
wo bu zen me 	我不怎麼	c=1 d=0.0340475 t=36939
wo bu zhi dao 	我不知道	c=1 d=1 t=29441
wo cai 	我才	c=0 d=2.00439e-05 t=36939
wo cai hui 	我纔會	c=1 d=0.000350903 t=36939
wo cai jue de 	我才覺得	c=1 d=0.000201444 t=36939
wo cai neng 	我才能	c=2 d=2.25661e-07 t=36939
wo cai yong 	我採用	c=1 d=1 t=34694
wo chang shi 	我嘗試	c=1 d=1 t=34855
wo cong 	我從	c=5 d=0.000680566 t=36939
wo cong lai dou 	我從來都	c=0 d=9.68929e-13 t=36939
wo cong lai dou shi 	我從來都是	c=1 d=9.73786e-12 t=36939
wo cong zhong 	我從中	c=1 d=0.00683978 t=36939
wo dang ran 	我當然	c=1 d=8.78394e-05 t=36939
wo dang shi 	我當時	c=1 d=5.42317e-08 t=36939
wo de 	我的	c=29 d=0.140156 t=36939
wo de guan zhu dian 	我的關注點	c=1 d=0.00035443 t=36939
wo de xiang mu 	我的項目	c=1 d=4.11859e-06 t=36939
wo dei cheng ren 	我得承認	c=1 d=0.00308872 t=36939
wo di 	臥底	c=2 d=0.66034 t=36939
wo dou 	我都	c=2 d=0.0713613 t=36939
wo dui 	我對	c=14 d=0.931197 t=36939
wo dui ta 	我對它	c=1 d=1.63315e-06 t=36939
wo dui yu 	我對於	c=1 d=1 t=34114
wo fen nu 	我憤怒	c=1 d=1 t=32029
wo fu qin 	我父親	c=1 d=0.00538036 t=36939
wo gan dao 	我感到	c=1 d=4.11075e-13 t=36939
wo gan jue 	我感覺	c=1 d=1 t=29429
wo gang cai 	我剛纔	c=1 d=1 t=29432
wo gang gang 	我剛剛	c=1 d=4.09874e-08 t=36939
wo ge ren 	我個人	c=7 d=0.428137 t=36939
wo gei 	我給	c=0 d=0.000995182 t=36939
wo gei wang le 	我給忘了	c=1 d=0.0100017 t=36939
wo geng 	我更	c=2 d=0.0043831 t=36939
wo guo 	我國	c=2 d=0.00510907 t=36939
wo hai 	我還	c=0 d=1.53115e-13 t=36939
wo hai shi 	我還是	c=5 d=0.0850088 t=36939
wo hai shi xi wang 	我還是希望	c=1 d=5.46446e-09 t=36939
wo hai zan shi 	我還暫時	c=1 d=1.53883e-12 t=36939
wo he 	我和	c=1 d=0.000773179 t=36939
wo hen 	我很	c=2 d=8.01829e-08 t=36939
wo hen huai yi 	我很懷疑	c=2 d=1.0022 t=34078
wo hen qing xing 	我很慶幸	c=1 d=2.00473e-06 t=36939
wo hui 	我會	c=2 d=0.1764 t=36939
wo ji ge yue 	我幾個月	c=1 d=4.15136e-11 t=36939
wo jiang 	我將	c=1 d=0.00286554 t=36939
wo jiao 	我交	c=1 d=1 t=28987
wo jin liang 	我儘量	c=1 d=3.0057e-06 t=36939
wo jing 	我竟	c=0 d=0.1 t=31791
wo jing you xie 	我竟有些	c=1 d=1 t=31792
wo jiu 	我就	c=2 d=0.0374406 t=36939
wo jue de 	我覺得	c=2 d=0.0253494 t=36939
wo kai shi 	我開始	c=1 d=1.84645e-09 t=36939
wo ke jiu 	我可就	c=1 d=0.00123708 t=36939
wo ke neng 	我可能	c=2 d=0.730125 t=36939
wo ke yi 	我可以	c=2 d=0.000285862 t=36939
wo lian xu 	我連續	c=1 d=0.00272578 t=36939
wo liao jie dao 	我瞭解到	c=1 d=1.59722e-09 t=36939
wo ma ne 	我媽呢	c=1 d=0.0471227 t=36939
wo mei you 	我沒有	c=2 d=0.0066709 t=36939
wo men 	我們	c=49 d=0.364295 t=36939
wo men de 	我們的	c=1 d=2.64064e-12 t=36939
wo men hui 	我們會	c=1 d=4.60062e-14 t=36939
wo men ke yi 	我們可以	c=1 d=1 t=29102
wo men shuo 	我們說	c=1 d=4.44087e-10 t=36939
wo men yi jiang 	我們已將	c=1 d=1 t=29133
wo men yi jing 	我們已經	c=1 d=1 t=35274
wo men yi qun 	我們一羣	c=1 d=2.94668e-08 t=36939
wo men zhi dao 	我們知道	c=2 d=1.35961e-09 t=36939
wo men zhi yao 	我們只要	c=1 d=1 t=30497
wo neng 	我能	c=1 d=7.48646e-07 t=36939
wo ping shi 	我平時	c=1 d=4.84654e-09 t=36939
wo qi shi 	我其實	c=2 d=2.64657e-09 t=36939
wo qi wang 	我期望	c=1 d=1.88343e-07 t=36939
wo qu 	我去	c=1 d=2.46681e-05 t=36939
wo ren wei 	我認爲	c=4 d=1.14171 t=36939
wo shi 	我是	c=10 d=0.224082 t=36939
wo shi bu shi 	我是不是	c=1 d=1 t=33039
wo shi gan jue 	我是感覺	c=1 d=2.55511e-07 t=36939
wo shi ji 	我實際	c=1 d=1 t=32654
wo shi shui 	我是誰	c=1 d=0.000314351 t=36939
wo shi xian 	我實現	c=1 d=1 t=34820
wo shi zai 	我實在	c=2 d=0.00146632 t=36939
wo shi zhe me li jie de 	我是這麼理解的	c=1 d=1.73922e-11 t=36939
wo shi zhi 	我是指	c=1 d=3.42356e-08 t=36939
wo shuo 	我說	c=0 d=7.56041e-06 t=36939
wo shuo zhe hua 	我說這話	c=1 d=7.59831e-05 t=36939
wo si hu 	我似乎	c=1 d=1 t=32612
wo tai 	我太	c=0 d=7.5996e-08 t=36939
wo tai man yi 	我太滿意	c=1 d=7.63769e-07 t=36939
wo te yi 	我特意	c=2 d=0.00324259 t=36939
wo ting 	我挺	c=1 d=8.13374e-12 t=36939
wo wan quan 	我完全	c=1 d=0.00220948 t=36939
wo wei shen me 	我爲什麼	c=2 d=6.67023e-09 t=36939
wo wei yi 	我唯一	c=1 d=2.12356e-07 t=36939
wo wen 	我問	c=2 d=5.78936e-12 t=36939
wo wu fa 	我無法	c=2 d=4.42865e-07 t=36939
wo xian 	我先	c=1 d=1.02072e-06 t=36939
wo xian zai 	我現在	c=3 d=0.0300468 t=36939
wo xiang 	我想	c=24 d=0.675559 t=36939
wo xiang xin 	我相信	c=2 d=0.0997588 t=36939
wo xie le 	我寫了	c=1 d=0.00612731 t=36939
wo yao 	我要	c=1 d=1.09418 t=32111
wo ye 	我也	c=11 d=0.0434282 t=36939
wo ye hen qing chu 	我也很清楚	c=1 d=2.31196e-07 t=36939
wo ye hui 	我也會	c=1 d=1.72996e-07 t=36939
wo ye jin liang 	我也儘量	c=1 d=2.45451e-05 t=36939
wo ye ke yi 	我也可以	c=1 d=4.94277e-05 t=36939
wo ye shuo bu shang lai 	我也說不上來	c=1 d=0.00096827 t=36939
wo ye zhi 	我也只	c=1 d=0.418952 t=36939
wo ye zhi shi 	我也只是	c=1 d=0.0124629 t=36939
wo yi ding yao 	我一定要	c=1 d=0.000164928 t=36939
wo yi ge ren 	我一個人	c=1 d=1 t=28576
wo yi jing 	我已經	c=4 d=4.31473e-05 t=36939
wo yi jiu 	我依舊	c=1 d=1 t=32786
wo yi kai shi 	我一開始	c=1 d=0.136695 t=36939
wo yi xiang 	我一向	c=1 d=0.000119165 t=36939
wo yi zhi 	我一直	c=2 d=0.0672055 t=36939
wo yi zhi bu guo 	我一直不過	c=1 d=1 t=32005
wo yin xiang 	我印象	c=1 d=0.618783 t=36939
wo yong 	我用	c=1 d=9.37706e-09 t=36939
wo yong yuan 	我永遠	c=1 d=0.189191 t=36939
wo you 	我有	c=1 d=3.26613e-13 t=36939
wo you ji de 	我猶記得	c=1 d=0.285076 t=36939
wo you le 	我有了	c=1 d=1 t=31941
wo yu ni 	我與你	c=1 d=1 t=31737
wo zai 	我再	c=1 d=1 t=36799
wo zai 	我在	c=7 d=1.84641e-05 t=36939
wo ze 	我則	c=1 d=8.85384e-10 t=36939
wo zhe 	握着	c=1 d=0.000200439 t=36939
wo zhe ge 	我這個	c=2 d=1.82864e-05 t=36939
wo zhe zhong 	我這種	c=0 d=2.58703e-07 t=36939
wo zhen 	我真	c=0 d=2.89532e-08 t=36939
wo zhen de 	我真的	c=1 d=1 t=32729
wo zhen de shi 	我真的是	c=1 d=2.90983e-07 t=36939
wo zheng zai 	我正在	c=1 d=1 t=28582
wo zhi 	我只	c=0 d=0.1 t=32372
wo zhi dui 	我只對	c=1 d=1 t=32373
wo zhi neng 	我只能	c=1 d=0.582748 t=36939
wo zhi qian 	我之前	c=2 d=0.00119453 t=36939
wo zhi tan 	我只談	c=1 d=0.000720907 t=36939
wo zhi yao 	我只要	c=1 d=6.12939e-07 t=36939
wo zhi you 	我只有	c=1 d=1 t=33799
wo zi ji 	我自己	c=6 d=0.00217658 t=36939
wo zi ran 	我自然	c=1 d=1 t=32595
wo zong shi 	我總是	c=1 d=1 t=32575
wo zui hou 	我最後	c=1 d=0.0051953 t=36939
wo zui zhong 	我最終	c=1 d=1.59337e-10 t=36939
wo zuo 	我做	c=1 d=0.00357068 t=36939
wo zuo de 	我做的	c=1 d=2.4372e-10 t=36939
wo zuo le 	我做了	c=1 d=0.0017555 t=36939
wo zuo wan 	我昨晚	c=1 d=1 t=32298
wu 	五	c=8 d=0.00037447 t=36939
wu 	武	c=1 d=0.00115923 t=36939
wu 	無	c=6 d=0.0309618 t=36939
wu 	物	c=1 d=0.00051312 t=36939
wu 	舞	c=2 d=0.0978108 t=36939
wu 	誤	c=1 d=5.91958e-09 t=36939
wu bai 	伍佰	c=10 d=0.63005 t=36939
wu bi 	無幣	c=1 d=9.52039e-11 t=36939
wu bing shen yin 	無病呻吟	c=1 d=1 t=32295
wu bu 	五步	c=1 d=6.3019e-10 t=36939
wu cha 	誤差	c=8 d=1.29054 t=36939
wu chan zhe 	無產者	c=2 d=1.33508e-09 t=36939
wu chong 	五重	c=1 d=0.000775271 t=36939
wu chong xun huan 	五重循環	c=1 d=0.00133343 t=36939
wu da 	五大	c=0 d=0.000134011 t=36939
wu da chan ye 	五大產業	c=1 d=0.00134683 t=36939
wu dao 	誤導	c=1 d=0.0323869 t=36939
wu di 	無敵	c=0 d=0.0697676 t=36939
wu di zi rong 	無地自容	c=2 d=0.104874 t=36939
wu duan 	無端	c=1 d=1 t=32329
wu fa 	無法	c=21 d=0.849413 t=36939
wu fang 	無妨	c=1 d=0.0378169 t=36939
wu ge 	五個	c=2 d=0.000117391 t=36939
wu guan jin yao 	無關緊要	c=1 d=3.38892e-06 t=36939
wu hui 	無悔	c=1 d=0.000432902 t=36939
wu ji zhi tan 	無稽之談	c=1 d=1.41319e-10 t=36939
wu jian 	舞劍	c=0 d=0.0011109 t=36939
wu jian shi 	舞劍士	c=1 d=0.0111647 t=36939
wu jian zhu 	五尖珠	c=1 d=3.59848e-06 t=36939
wu jin 	無盡	c=3 d=0.00744658 t=36939
wu ke hou fei 	無可厚非	c=1 d=4.93085e-06 t=36939
wu ke nai he 	無可奈何	c=2 d=0.00104628 t=36939
wu ke zhi zhai 	無可指摘	c=1 d=0.511709 t=36939
wu li 	武力	c=2 d=0.114736 t=36939
wu li 	無力	c=2 d=1.22878 t=32965
wu li 	物理	c=18 d=0.742343 t=36939
wu li jing sai 	物理競賽	c=1 d=0.100761 t=36939
wu li liang 	物理量	c=1 d=1.33757e-10 t=36939
wu li shi jie 	物理世界	c=1 d=5.65911e-09 t=36939
wu li shi yan 	物理實驗	c=14 d=0.965605 t=36939
wu li zuo ye 	物理作業	c=1 d=3.77449e-09 t=36939
wu liang bi 	物量比	c=1 d=0.00116504 t=36939
wu liao 	無聊	c=6 d=0.937067 t=36939
wu lin 	武林	c=2 d=0.000796957 t=36939
wu lun 	無論	c=5 d=0.0247235 t=36939
wu lun ru he 	無論如何	c=1 d=6.9827e-11 t=36939
wu ming 	無名	c=1 d=0.000397625 t=36939
wu nai 	無奈	c=5 d=0.273898 t=36939
wu nian 	五年	c=0 d=0.1 t=36562
wu nian gui hua 	五年規劃	c=1 d=1 t=36563
wu nian ji hua 	五年計劃	c=3 d=2.48117 t=36613
wu pi 	五皮	c=3 d=0.0837432 t=36939
wu pi lang zhong 	五皮郎中	c=1 d=8.50523e-08 t=36939
wu pin 	物品	c=3 d=0.10383 t=36939
wu qi 	武器	c=5 d=0.189852 t=36939
wu qi 	無奇	c=1 d=4.17004e-05 t=36939
wu qu yang 	五取樣	c=4 d=2.63435e-09 t=36939
wu qu yang hua fen 	五取樣劃分	c=7 d=0.00307331 t=36939
wu ran 	污染	c=8 d=0.662605 t=36939
wu ri 	五日	c=0 d=0.1 t=28443
wu ru 	侮辱	c=1 d=0.257947 t=36939
wu shen lun 	無神論	c=1 d=5.71695e-11 t=36939
wu shen tong 	五神通	c=1 d=0.0254765 t=36939
wu si 	五四	c=2 d=1.97045 t=32167
wu si yun dong 	五四運動	c=6 d=1.98329 t=33251
wu suo shi cong 	無所適從	c=1 d=1.10879e-09 t=36939
wu suo shi shi 	無所事事	c=1 d=0.000119165 t=36939
wu tai 	舞臺	c=2 d=5.75754e-06 t=36939
wu tou gong an 	無頭公案	c=1 d=5.97704e-05 t=36939
wu tuo bang 	烏托邦	c=1 d=2.46765e-09 t=36939
wu wei 	五位	c=1 d=2.78227e-09 t=36939
wu wei 	無謂	c=1 d=5.19707e-07 t=36939
wu wei za chen 	五味雜陳	c=1 d=1 t=32937
wu xi 	武戲	c=3 d=0.000881639 t=36939
wu xia 	武俠	c=1 d=0.0250972 t=36939
wu xia xiao shuo 	武俠小說	c=1 d=0.00136037 t=36939
wu xian 	無線	c=1 d=0.0317456 t=36939
wu xian 	無限	c=1 d=8.8967e-09 t=36939
wu xiao 	無效	c=2 d=0.895843 t=36939
wu xin 	無心	c=0 d=8.3786e-09 t=36939
wu xing 	五行	c=1 d=8.13097e-08 t=36939
wu xing 	無形	c=0 d=0.00710054 t=36939
wu ye 	物業	c=1 d=0.199501 t=36773
wu ye zhong xin 	物業中心	c=1 d=1 t=36774
wu ye zhong xin 	物業衷心	c=1 d=1 t=36773
wu yi 	無異	c=1 d=7.77584e-12 t=36939
wu yi 	無疑	c=1 d=0.222017 t=36939
wu yi yi 	無意義	c=1 d=4.96923e-09 t=36939
wu yong 	無用	c=3 d=0.00615802 t=36939
wu yong zhi yi 	毋庸置疑	c=1 d=1 t=33954
wu yu 	物慾	c=1 d=0.0102037 t=36939
wu yue 	五月	c=1 d=0.0042963 t=36939
wu yue san ri 	五月三日	c=1 d=1 t=32221
wu yue si ri 	五月四日	c=2 d=1.01616 t=33048
wu zhang 	五張	c=1 d=0.00013845 t=36939
wu zhi 	物質	c=2 d=1.99501 t=31146
xi 	息	c=2 d=0.0692522 t=36939
xi 	戲	c=5 d=0.687992 t=36939
xi 	稀	c=0 d=0.000278085 t=36939
xi 	系	c=4 d=0.00202943 t=36939
xi ai 	喜愛	c=1 d=1 t=32964
xi ben 	戲本	c=1 d=7.35596e-06 t=36939
xi deng 	熄燈	c=1 d=1 t=30722
xi duo lang 	喜多郎	c=1 d=1 t=30966
xi fang 	西方	c=3 d=0.472367 t=36939
xi fen 	戲份	c=1 d=7.39283e-06 t=36939
xi fen 	細分	c=1 d=7.35596e-06 t=36939
xi guan 	習慣	c=3 d=0.0238732 t=36939
xi huan 	喜歡	c=8 d=0.736051 t=36939
xi jie 	細節	c=4 d=0.440216 t=36939
xi lang yan 	惜浪岩	c=1 d=1.25663e-11 t=36939
xi li 	淅瀝	c=1 d=1 t=31837
xi lie 	系列	c=7 d=0.00486835 t=36939
xi mi 	戲迷	c=19 d=0.0728029 t=36939
xi nan 	西南	c=1 d=1 t=34069
xi nao 	洗腦	c=3 d=7.81215e-08 t=36939
xi ni 	細膩	c=1 d=0.546074 t=36939
xi ou 	戲偶	c=1 d=5.90631e-12 t=36939
xi ou 	西歐	c=1 d=2.81798e-12 t=36939
xi qing 	系慶	c=2 d=0.00431184 t=36939
xi qu 	吸取	c=3 d=0.774878 t=36939
xi qu 	戲曲	c=7 d=1.08818 t=36939
xi qu gong zuo zhe 	戲曲工作者	c=1 d=0.304221 t=36939
xi qu yi shu 	戲曲藝術	c=1 d=1.26577e-08 t=36939
xi sheng 	犧牲	c=3 d=3.09812e-07 t=36939
xi shi 	稀釋	c=1 d=0.0731678 t=36939
xi shu 	係數	c=14 d=1 t=36939
xi ti 	習題	c=2 d=0.000419023 t=36939
xi ti jie xi 	習題解析	c=1 d=0.00421123 t=36939
xi tong 	系統	c=15 d=0.118262 t=36939
xi tong diao yong 	系統調用	c=3 d=0.0329965 t=36939
xi tong mo ren 	系統默認	c=1 d=2.33639e-13 t=36939
xi tong wu cha 	系統誤差	c=1 d=1.00085e-10 t=36939
xi wai 	戲外	c=2 d=5.23728e-08 t=36939
xi wang 	希望	c=12 d=1.22367 t=36939
xi wang de 	希望的	c=1 d=1 t=29256
xi wei 	稀微	c=2 d=0.752014 t=36939
xi wei de feng zhong 	稀微的風中	c=1 d=0.00279479 t=36939
xi xiang ji 	西廂記	c=1 d=0.0223708 t=36939
xi yang 	夕陽	c=1 d=0.000101039 t=36939
xi yi ren sheng 	戲藝人生	c=1 d=0.0531307 t=36939
xi yin 	吸引	c=3 d=0.000420107 t=36939
xi yin le 	吸引了	c=1 d=1.79158e-07 t=36939
xi zhi 	細緻	c=2 d=0.458406 t=36939
xi zhi mo jie 	細枝末節	c=1 d=0.0297478 t=36939
xia 	下	c=44 d=0.760144 t=36939
xia 	夏	c=2 d=1.99501 t=33547
xia ba 	下巴	c=1 d=0.00708341 t=36939
xia ban 	下半	c=1 d=0.000468957 t=36939
xia ban nian 	下半年	c=1 d=0.000757869 t=36939
xia bi 	下筆	c=1 d=1 t=34361
xia biao 	下標	c=1 d=0.740818 t=36939
xia hua 	下滑	c=0 d=4.65651e-10 t=36939
xia ji 	下集	c=0 d=0.000198925 t=36939
xia ji 	夏季	c=1 d=1 t=33405
xia jiang 	下降	c=5 d=6.87523e-05 t=36939
xia la 	下拉	c=1 d=1.21007e-08 t=36939
