# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	7834
#@/user_id	linusboyle
a 	啊	c=2 d=5.95428e-11 t=7834
ling 	令	c=1 d=1.44847e-06 t=7834
ling 	另	c=1 d=0.733447 t=7834
ling ren 	令人	c=0 d=2.41254e-09 t=7834
ling shi 	零食	c=1 d=0.0031042 t=7834
ling wai 	另外	c=3 d=0.00606321 t=7834
ling yi 	另一	c=1 d=0.000114493 t=7834
ling yi ge 	另一個	c=2 d=0.0526036 t=7834
ling yun 	凌雲	c=0 d=3.06694e-09 t=7834
ling zhou 	靈洲	c=1 d=0.00036159 t=7834
liu bai 	六百	c=1 d=1 t=6908
liu bai nian 	六百年	c=1 d=1 t=6906
liu cheng 	流程	c=0 d=0.0228779 t=7834
liu cheng shi 	流程是	c=1 d=0.229925 t=7834
liu he 	六合	c=1 d=0.289384 t=7834
liu su 	流速	c=4 d=0.000179877 t=7834
liu su da xiao 	流速大小	c=1 d=0.000182274 t=7834
long duan 	壟斷	c=1 d=0.00737249 t=7834
lu 	路	c=1 d=0.00113627 t=7834
lu guo 	路過	c=1 d=5.13382e-10 t=7834
lu jing 	路徑	c=3 d=0.358796 t=7834
lu xi 	露西	c=0 d=0.1 t=6595
lu xi na ge 	露西那個	c=1 d=1 t=6596
lu xiang 	錄像	c=2 d=1.89137 t=6592
lu xiang dai 	錄像帶	c=1 d=1.76947e-08 t=7834
lun hui 	輪迴	c=0 d=3.51931e-10 t=7834
lun li 	倫理	c=1 d=1.19803e-08 t=7834
lun wen 	論文	c=2 d=2.09374e-05 t=7834
luo hou 	落後	c=1 d=0.000256087 t=7834
luo ji 	邏輯	c=2 d=0.214381 t=7834
luo ji shang 	邏輯上	c=1 d=0.22091 t=7834
lve 	略	c=1 d=0.995012 t=7834
lve luo hou 	略落後	c=1 d=0.000221519 t=7834
ma 	嗎	c=2 d=0.0169049 t=7834
ma 	嘛	c=1 d=0.110251 t=7834
ma 	碼	c=1 d=0.00271219 t=7834
ma fan 	麻煩	c=1 d=0.140156 t=7834
ma ke si 	馬克思	c=1 d=1 t=7657
ma ke si zhu yi 	馬克思主義	c=2 d=1.17119 t=7663
ma ke si zhu yi zhe 	馬克思主義者	c=1 d=4.35146e-06 t=7834
ma luo 	麻羅	c=1 d=0.249075 t=7834
ma yuan 	馬原	c=1 d=1 t=7656
ma yue han 	馬約翰	c=0 d=0.000321477 t=7834
ma yue han bei 	馬約翰盃	c=1 d=0.00323088 t=7834
ma zai 	馬仔	c=2 d=0.112487 t=7834
mai mo 	埋沒	c=0 d=0.0121846 t=7834
mai mo zai le 	埋沒在了	c=1 d=0.122456 t=7834
man 	慢	c=2 d=1.0825 t=7533
man man 	慢慢	c=1 d=0.14808 t=7834
man zu 	滿足	c=1 d=0.000124028 t=7834
mao zu 	貓組	c=1 d=1.05181e-06 t=7834
me 	麼	c=2 d=0.00121866 t=7834
mei 	沒	c=2 d=0.00017109 t=7834
mei ban fa 	沒辦法	c=4 d=0.0600834 t=7834
mei bi yao 	沒必要	c=1 d=2.58123e-09 t=7834
mei bian 	沒變	c=1 d=5.6028e-09 t=7834
mei cuo 	沒錯	c=1 d=1 t=7156
mei duo shao ren 	沒多少人	c=1 d=8.50667e-10 t=7834
mei fa 	沒法	c=1 d=0.00123091 t=7834
mei gei 	沒給	c=1 d=0.0963276 t=7834
mei guan xi 	沒關係	c=1 d=0.00128757 t=7834
mei guo 	美國	c=1 d=0.00647375 t=7834
mei hua 	美化	c=3 d=2.18851e-05 t=7834
mei jie 	媒介	c=1 d=5.3683e-06 t=7834
mei jin 	美金	c=1 d=0.00708341 t=7834
mei ju 	枚舉	c=1 d=1.8506e-06 t=7834
mei kou 	沒扣	c=1 d=2.25526e-09 t=7834
mei shen me 	沒什麼	c=3 d=0.166337 t=7834
mei shu 	美術	c=1 d=0.00571306 t=7834
mei ti 	媒體	c=1 d=6.2867e-11 t=7834
mei xiang dao 	沒想到	c=1 d=0.00477195 t=7834
mei yi 	每一	c=1 d=0.00344787 t=7834
mei yi ci 	每一次	c=3 d=0.036891 t=7834
mei yi hang 	每一行	c=1 d=1 t=6829
mei you 	沒有	c=17 d=0.502489 t=7834
mei you chu shi hua 	沒有初始化	c=1 d=8.21129e-06 t=7834
mei you ren 	沒有人	c=1 d=0.0845849 t=7834
mei zhou 	每週	c=0 d=2.27127e-05 t=7834
mei zhou ju ping 	每週劇評	c=1 d=0.000228266 t=7834
men kan 	門檻	c=1 d=3.47589e-10 t=7834
men kou 	門口	c=0 d=0.0995012 t=7834
men kou di ren 	門口敵人	c=1 d=1 t=7834
meng xing 	夢醒	c=1 d=1 t=6510
meng zai 	蒙在	c=1 d=0.00185476 t=7834
mi 	冪	c=1 d=1 t=7137
mi 	謎	c=1 d=0.0223708 t=7834
mi 	迷	c=0 d=0.00652193 t=7834
mi lian 	迷戀	c=1 d=0.00238156 t=7834
mi ma 	密碼	c=1 d=4.65572e-07 t=7834
mi mi 	祕密	c=4 d=0.00299914 t=7834
mi shi 	密室	c=1 d=4.90792e-10 t=7834
mian dui 	面對	c=1 d=0.024478 t=7834
mian ju 	面具	c=3 d=0.195509 t=7834
mian qian 	面前	c=1 d=0.0212797 t=7834
mian qiang 	勉強	c=2 d=5.96161e-05 t=7834
mian shou 	免受	c=1 d=0.0125881 t=7834
mian xiang dui xiang 	面向對象	c=3 d=0.29523 t=7834
mian xiang guo cheng 	面向過程	c=1 d=4.0169e-06 t=7834
mian yu 	免於	c=1 d=0.0148464 t=7834
miao mo 	描摹	c=3 d=0.167179 t=7834
mie men 	滅門	c=2 d=1.30888e-06 t=7834
min su 	民俗	c=1 d=0.0110536 t=7834
min su wen hua 	民俗文化	c=1 d=0.12307 t=7834
min yue 	民樂	c=1 d=7.97133e-10 t=7834
ming 	名	c=0 d=0.0198891 t=7834
ming 	明	c=0 d=0.1 t=7313
ming deng 	明燈	c=0 d=0.1 t=6916
ming ling 	命令	c=1 d=0.904837 t=7834
ming ming 	明明	c=1 d=1 t=6892
ming ming kong jian 	命名空間	c=1 d=0.00010569 t=7834
ming que 	明確	c=1 d=0.00107547 t=7834
ming xian 	明顯	c=1 d=0.0426384 t=7834
ming xiang 	冥想	c=2 d=0.0607652 t=7834
ming yu 	名譽	c=1 d=0.0816756 t=7834
ming zhong 	命中	c=1 d=0.044601 t=7834
ming zi 	名字	c=5 d=0.395128 t=7834
ming zui 	冥罪	c=13 d=0.654404 t=7834
mo 	莫	c=0 d=0.00081887 t=7834
mo 	魔	c=1 d=9.36952e-08 t=7834
mo ban 	模板	c=4 d=0.159186 t=7834
mo dao 	魔刀	c=2 d=0.614681 t=7834
mo hu 	模糊	c=1 d=0.157237 t=7834
mo ji tian xia 	魔紀天下	c=1 d=6.31606e-07 t=7834
mo jian 	魔劍	c=0 d=0.0285076 t=7834
mo jiao 	魔教	c=1 d=0.250324 t=7834
mo jie 	魔界	c=0 d=3.24818e-08 t=7834
mo jie feng yin 	魔界封印	c=1 d=3.26446e-07 t=7834
mo jing 	墨鏡	c=1 d=0.0100017 t=7834
mo kuai 	模塊	c=3 d=0.999661 t=7834
mo li 	莫里	c=0 d=0.000491728 t=7834
mo li ya di 	莫里亞蒂	c=1 d=0.00494193 t=7834
mo ni 	模擬	c=1 d=1 t=6952
mo ni qi 	模擬器	c=1 d=1.61273e-05 t=7834
mo pa gun da 	摸爬滾打	c=1 d=0.0315873 t=7834
mo ren 	默認	c=3 d=0.839499 t=7834
mo shi 	模式	c=7 d=0.00713655 t=7834
mo xing 	模型	c=1 d=1 t=7761
mo xue 	墨學	c=1 d=4.37327e-06 t=7834
mo yun 	魔雲	c=0 d=2.31235e-10 t=7834
mo yun zhan tao 	魔雲戰韜	c=11 d=1.18284 t=7834
mo zi 	墨子	c=0 d=0.0847894 t=7834
mo zi hao 	墨子號	c=2 d=1.99501 t=7803
mo zi jian 	墨子劍	c=1 d=8.29523e-08 t=7834
mo zu 	魔族	c=1 d=3.33041e-07 t=7834
mou shi 	某事	c=1 d=5.88906e-07 t=7834
mou wei 	某位	c=2 d=0.0164084 t=7834
mou xie 	某些	c=1 d=1.25296e-06 t=7834
mou zhong 	某種	c=1 d=8.8967e-08 t=7834
mu 	慕	c=0 d=3.09776e-09 t=7834
mu 	目	c=1 d=3.0448e-11 t=7834
mu biao 	目標	c=2 d=1.69409e-09 t=7834
mu dan ting 	牡丹亭	c=2 d=1.01477 t=7747
mu di 	目的	c=2 d=0.0843543 t=7834
mu ou 	木偶	c=1 d=6.23707e-06 t=7834
mu qian 	目前	c=4 d=0.164476 t=7834
mu xiang fei 	慕湘妃	c=12 d=0.172047 t=7834
na 	那	c=2 d=0.0771968 t=7834
na bian 	那邊	c=2 d=0.239309 t=7834
na ge 	那個	c=1 d=1.00058 t=7625
na han 	吶喊	c=1 d=0.0043831 t=7834
na jiu 	那就	c=1 d=0.0160829 t=7834
na jiu shi 	那就是	c=1 d=2.65297e-08 t=7834
na me 	那麼	c=1 d=4.87001e-07 t=7834
na shi 	那是	c=1 d=0.045502 t=7834
na xie 	那些	c=2 d=3.81843e-08 t=7834
na yang 	那樣	c=1 d=1.6957e-07 t=7834
na yi duan 	那一段	c=1 d=3.35577e-08 t=7834
na yi nian 	那一年	c=1 d=0.0428521 t=7834
na zhong 	那種	c=2 d=0.00033234 t=7834
nan 	南	c=1 d=5.37012e-10 t=7834
nan 	男	c=3 d=0.200586 t=7834
nan bu cheng 	難不成	c=1 d=1 t=6724
nan dao 	難道	c=0 d=1.64106e-05 t=7834
nan dao shi 	難道是	c=2 d=0.00033488 t=7834
nan nan nv nv 	男男女女	c=1 d=0.0175097 t=7834
nan sheng 	男生	c=1 d=1 t=7320
nao hai 	腦海	c=1 d=1.86019e-08 t=7834
ne 	呢	c=2 d=0.265803 t=7834
nei 	內	c=6 d=0.0191466 t=7834
nei bu 	內部	c=6 d=0.00694857 t=7834
nei cun 	內存	c=4 d=0.0624359 t=7834
nei cun xie lou 	內存泄漏	c=1 d=1 t=7629
nei han 	內涵	c=1 d=0.193013 t=7834
nei qian 	內嵌	c=1 d=0.0037164 t=7834
nei qian zhong du 	內鉛中毒	c=1 d=1 t=6664
nei qian zhong duan 	內嵌終端	c=1 d=1 t=6665
nei rong 	內容	c=3 d=0.782705 t=7834
nei ying 	內應	c=1 d=0.263158 t=7834
nei yong 	內用	c=1 d=0.00701293 t=7834
neng 	能	c=16 d=1.18403 t=7834
neng dao da 	能到達	c=1 d=1 t=6798
neng li 	能力	c=2 d=0.027786 t=7834
neng zuo cheng 	能做成	c=1 d=0.0816756 t=7834
ni 	你	c=5 d=3.12711e-09 t=7834
ni bu 	你不	c=0 d=0.0181772 t=7834
ni bu de bu 	你不得不	c=1 d=0.182684 t=7834
ni de 	你的	c=2 d=0.00136037 t=7834
ni hao 	你好	c=1 d=5.42409e-10 t=7834
ni ke yi 	你可以	c=2 d=1.09192e-05 t=7834
ni yong 	你用	c=0 d=0.1 t=6724
ni yong de shi 	你用的是	c=1 d=1 t=6725
nian 	年	c=4 d=0.0579636 t=7834
nian dai 	年代	c=1 d=0.00543443 t=7834
nian jiu shi xiu 	年久失修	c=1 d=0.00628242 t=7834
nian li 	念力	c=2 d=0.0610698 t=7834
nian tou 	年頭	c=1 d=0.0306538 t=7834
nian tou 	念頭	c=1 d=0.0305009 t=7834
niu yue 	紐約	c=1 d=0.00644146 t=7834
niu zai ku 	牛仔褲	c=1 d=0.00995182 t=7834
nv 	女	c=0 d=3.68067e-08 t=7834
nv er 	女兒	c=0 d=0.001649 t=7834
nv wo di 	女臥底	c=1 d=3.69912e-07 t=7834
o 	哦	c=0 d=0.000937227 t=7834
ou 	偶	c=0 d=6.70777e-10 t=7834
ou xi 	偶戲	c=3 d=1.44054e-05 t=7834
pai ma 	拍馬	c=1 d=0.0523397 t=7834
pai she 	拍攝	c=3 d=0.134797 t=7834
pai she ji shu 	拍攝技術	c=1 d=1.08946e-08 t=7834
pan duan 	判斷	c=4 d=0.371588 t=7834
pang zhi mo jie 	旁枝末節	c=1 d=0.00904991 t=7834
pao 	跑	c=0 d=0.1 t=6626
pao bian 	跑遍	c=1 d=0.000578542 t=7834
pao le 	跑了	c=0 d=7.35721e-09 t=7834
pao qu 	跑去	c=1 d=6.99839e-08 t=7834
pao yi bian 	跑一邊	c=1 d=1 t=6627
pei 	裴	c=1 d=1 t=7316
pei bei 	配備	c=1 d=0.00597602 t=7834
pei se 	配色	c=1 d=1 t=6721
pei shen tuan 	陪審團	c=1 d=1.71747e-10 t=7834
pei zhi 	配置	c=4 d=0.790154 t=7834
peng mian 	碰面	c=2 d=0.00742157 t=7834
peng zhang 	膨脹	c=1 d=1 t=7696
pi 	皮	c=0 d=8.46281e-09 t=7834
pi bao gong si 	皮包公司	c=1 d=0.00733572 t=7834
pi li 	霹靂	c=1 d=0.000398911 t=7834
pi li bu dai xi 	霹靂布袋戲	c=4 d=0.00121147 t=7834
pi li jing tao 	霹靂驚濤	c=5 d=0.00153941 t=7834
pi pei 	匹配	c=1 d=1 t=7726
pi ping 	批評	c=1 d=0.149569 t=7834
pi qiu 	皮球	c=1 d=1.92148e-07 t=7834
pi ru 	譬如	c=1 d=1.67506e-10 t=7834
pian te 	偏特	c=0 d=0.1 t=7201
pian te hua 	偏特化	c=1 d=1 t=7202
pian tou qu 	片頭曲	c=1 d=0.519442 t=7834
pian wei qu 	片尾曲	c=1 d=1 t=6896
pian xiang yu 	偏向于	c=1 d=3.38189e-11 t=7834
pian yi liang 	偏移量	c=1 d=0.000490542 t=7834
pin lv 	頻率	c=1 d=0.105399 t=7834
ping 	憑	c=1 d=0.00843808 t=7834
ping chang 	平常	c=1 d=0.090718 t=7834
ping dian 	評點	c=1 d=6.49271e-08 t=7834
ping fen 	評分	c=1 d=1 t=7111
ping jia 	評價	c=1 d=1 t=6500
ping jie 	憑藉	c=1 d=0.0383884 t=7834
ping jun 	平均	c=1 d=1 t=7547
ping lun 	評論	c=2 d=0.000613671 t=7834
ping mu 	屏幕	c=1 d=5.29017e-10 t=7834
ping shi 	平時	c=4 d=0.0490992 t=7834
ping tai 	平臺	c=8 d=0.00175798 t=7834
po 	頗	c=0 d=3.13646e-08 t=7834
po huai 	破壞	c=1 d=0.000464291 t=7834
po rang ren wan wei 	頗讓人玩味	c=1 d=3.15218e-07 t=7834
pu tong jue se 	普通角色	c=1 d=1.43777e-07 t=7834
pu tong mo shi 	普通模式	c=1 d=1 t=6667
qi 	其	c=14 d=0.167565 t=7834
qi 	啓	c=0 d=0.1 t=7806
qi 	器	c=1 d=0.000310454 t=7834
qi 	起	c=1 d=0.00120654 t=7834
qi dai 	期待	c=4 d=1.0004 t=7834
qi dai de 	期待的	c=1 d=4.59906e-10 t=7834
qi dao 	起到	c=1 d=4.79669e-05 t=7834
qi di 	啓迪	c=1 d=1.53459e-09 t=7834
qi dong 	啓動	c=2 d=0.0199415 t=7834
qi guai 	奇怪	c=1 d=0.00219846 t=7834
qi jian 	棄劍	c=1 d=0.215456 t=7834
qi lai 	起來	c=2 d=0.00422395 t=7834
qi lin 	麒麟	c=0 d=7.61927e-09 t=7834
qi lin cheng 	麒麟城	c=12 d=0.318645 t=7834
qi miao 	奇妙	c=1 d=1 t=6617
qi pian 	欺騙	c=1 d=0.0393602 t=7834
qi shi 	其實	c=16 d=0.304341 t=7834
qi shi jiu shi 	其實就是	c=1 d=1 t=6621
qi ta 	其他	c=2 d=7.1151e-10 t=7834
qi ta ren 	其他人	c=1 d=0.0238732 t=7834
qi wang 	期望	c=1 d=0.0675424 t=7834
qi ye 	企業	c=4 d=0.506617 t=7834
qi yi 	奇異	c=1 d=0.00460782 t=7834
qi yu 	其餘	c=1 d=0.165299 t=7834
qi yu 	奇遇	c=2 d=0.169491 t=7834
qi zhong 	七中	c=1 d=0.00349997 t=7834
qi zhong 	其中	c=5 d=0.339653 t=7834
qi zi 	棋子	c=1 d=0.88692 t=7834
qian 	前	c=0 d=0.0079659 t=7834
qian cang 	潛藏	c=1 d=3.62588e-07 t=7834
qian duan 	前端	c=8 d=1.91123 t=7834
qian fu 	潛伏	c=1 d=0.366045 t=7834
qian jing 	前景	c=7 d=2.04866e-09 t=7834
qian qiu 	千秋	c=0 d=3.91839e-09 t=7834
qian shu 	前述	c=1 d=1.93611e-08 t=7834
qian wang 	前往	c=3 d=2.63621e-07 t=7834
qian xian 	淺顯	c=1 d=6.79156e-08 t=7834
qian xian yi dong 	淺顯易懂	c=1 d=3.23253e-09 t=7834
qian zai 	潛在	c=2 d=0.0126512 t=7834
qian zhi 	前置	c=1 d=0.00282287 t=7834
qian zhong du 	鉛中毒	c=0 d=0.1 t=6663
qiang 	強	c=1 d=1 t=7687
qiang 	槍	c=2 d=0.3388 t=7834
qiang da 	強大	c=1 d=2.35826e-05 t=7834
qiang lei xing 	強類型	c=2 d=1.97045 t=7130
qiang lie 	強烈	c=1 d=0.036334 t=7834
qiang shi 	強勢	c=2 d=1.9802 t=7694
qiang xin 	強心	c=1 d=0.045275 t=7834
qiang xing 	強行	c=1 d=0.045502 t=7834
qie 	且	c=2 d=2.43166e-05 t=7834
qin lve 	侵略	c=1 d=1.36435e-08 t=7834
qin lve xing 	侵略性	c=2 d=2.97076e-08 t=7834
qin qie 	親切	c=1 d=0.00229965 t=7834
qin ru 	侵入	c=1 d=1.84168e-08 t=7834
qing 	情	c=3 d=0.21822 t=7834
qing 	慶	c=1 d=7.93157e-10 t=7834
qing 	青	c=1 d=1 t=7333
qing bao 	情報	c=4 d=1.70516e-06 t=7834
qing chu 	清楚	c=2 d=0.966291 t=7834
qing chu 	清除	c=1 d=0.932394 t=7834
qing chu yi dian 	清楚一點	c=0 d=0.1 t=7572
qing fang wen 	請訪問	c=1 d=0.000284437 t=7834
qing gan 	情感	c=3 d=0.0305342 t=7834
qing gan yuan su 	情感元素	c=1 d=0.171187 t=7834
qing guan 	情關	c=2 d=0.171331 t=7834
qing hai 	情海	c=0 d=2.67964e-09 t=7834
qing hai mo tao 	情海魔濤	c=1 d=2.69307e-08 t=7834
qing hua 	清華	c=1 d=0.000611253 t=7834
qing hua da xue 	清華大學	c=6 d=1.20789 t=7834
qing huai 	情懷	c=2 d=0.20887 t=7834
qing i qu 	情i曲	c=1 d=1 t=6605
qing jie 	情節	c=1 d=2.24944e-08 t=7834
qing jing 	情景	c=1 d=0.000539429 t=7834
qing kong 	清空	c=4 d=8.2398e-05 t=7834
qing kuang 	情況	c=10 d=1.64853 t=7834
qing kuang xia 	情況下	c=3 d=0.272875 t=7834
qing lai 	青睞	c=1 d=0.0480747 t=7834
qing qiu 	請求	c=13 d=3.31605 t=7834
qing rou 	輕柔	c=0 d=0.0591555 t=7834
qing rou ban 	輕柔版	c=1 d=0.594521 t=7834
qing shi 	情事	c=1 d=0.145876 t=7834
qing shuang 	清爽	c=1 d=0.00701293 t=7834
qing song 	輕鬆	c=1 d=0.000642592 t=7834
qing tian 	情天	c=2 d=1.0167 t=7834
qing tian 	擎天	c=0 d=4.72608e-08 t=7834
qing xiang 	傾向	c=2 d=0.199524 t=7834
qing xing 	慶幸	c=1 d=0.0953692 t=7834
qing yi 	輕易	c=1 d=1.73443e-08 t=7834
qiu 	球	c=1 d=1 t=7292
qiu de 	求得	c=1 d=1 t=7009
qiu ke 	球殼	c=1 d=1 t=7278
qiu qi 	邱奇	c=1 d=1.06561 t=7242
qiu qi shu 	邱奇數	c=1 d=1 t=7243
qiu shan 	秋山	c=1 d=1 t=7370
qiu sheng 	求生	c=1 d=0.0359725 t=7834
qiu xing 	球形	c=1 d=1 t=7285
qu 	去	c=4 d=0.00279184 t=7834
qu 	曲	c=0 d=0.050409 t=7834
qu chong 	去重	c=1 d=1 t=7443
qu er dai zhi 	取而代之	c=1 d=0.0593087 t=7834
qu kai lian 	去開鐮	c=1 d=2.92541e-11 t=7834
qu kuai 	區塊	c=0 d=2.09266e-12 t=7834
qu kuai lian 	區塊鏈	c=29 d=0.000808767 t=7834
qu mu 	曲目	c=1 d=0.554327 t=7834
qu nian 	去年	c=1 d=0.000407691 t=7834
qu xiao 	取消	c=1 d=1.43753e-05 t=7834
qu yi 	去矣	c=1 d=0.00831246 t=7834
qu yu 	區域	c=3 d=2.90722 t=6820
qu zhong xin hua 	去中心化	c=2 d=1.46912e-09 t=7834
qu zi 	曲子	c=4 d=1.79447 t=7834
quan bu 	全部	c=1 d=2.70611e-06 t=7834
quan li 	權利	c=2 d=0.511709 t=7834
quan xin 	全新	c=1 d=0.00100779 t=7834
quan yi 	權益	c=1 d=0.000553084 t=7834
quan yi bu 	權益部	c=0 d=3.99619e-05 t=7834
que 	卻	c=3 d=0.0493015 t=7834
que ding 	確定	c=5 d=0.701187 t=7834
que fa 	缺乏	c=1 d=7.26644e-09 t=7834
que ren 	確認	c=2 d=4.52361e-10 t=7834
que shao 	缺少	c=1 d=2.47404e-10 t=7834
que shi 	卻是	c=1 d=4.81074e-10 t=7834
que shi 	確實	c=1 d=4.71548e-10 t=7834
que shi 	缺失	c=1 d=3.25714e-10 t=7834
qun zhong 	羣衆	c=2 d=2.799e-07 t=7834
ran deng 	燃燈	c=1 d=0.960789 t=7834
ran er 	然而	c=3 d=0.0403639 t=7834
ran hou 	然後	c=3 d=0.00635164 t=7834
rang 	讓	c=9 d=0.113067 t=7834
rang ren 	讓人	c=0 d=3.13646e-08 t=7834
rang ta 	讓他	c=1 d=0.150318 t=7834
rang ta men 	讓他們	c=1 d=1.86469e-07 t=7834
rang wo 	讓我	c=2 d=0.198891 t=7834
rang wo men 	讓我們	c=1 d=0.000717312 t=7834
ren 	人	c=16 d=0.665964 t=7834
ren he 	任何	c=2 d=0.000974319 t=7834
ren ke 	任課	c=1 d=1 t=7371
ren men 	人們	c=2 d=0.133457 t=7834
ren qing 	人情	c=1 d=7.71577e-09 t=7834
ren shi 	人士	c=1 d=0.0544757 t=7834
ren shou 	忍受	c=1 d=0.0555762 t=7834
ren wei 	認爲	c=3 d=6.77302e-07 t=7834
ren wu 	人物	c=2 d=0.000610611 t=7834
ren wu 	任務	c=1 d=0.000291637 t=7834
ren wu ka 	人物卡	c=1 d=1 t=6930
ren xi 	人戲	c=3 d=1.85762e-05 t=7834
ren yi 	任意	c=1 d=0.000880518 t=7834
ren yuan 	人員	c=2 d=7.35637e-10 t=7834
ren zhen 	認真	c=1 d=6.03917e-09 t=7834
ren zong shi 	人總是	c=1 d=0.108609 t=7834
reng ran 	仍然	c=2 d=7.8935e-11 t=7834
ri 	日	c=1 d=0.465334 t=7834
ri ben 	日本	c=1 d=6.92758e-06 t=7834
ri luo 	日落	c=0 d=3.62649e-10 t=7834
ri sheng 	日升	c=0 d=3.62649e-10 t=7834
ri sheng ri luo 	日升日落	c=1 d=3.64467e-09 t=7834
ri zi 	日子	c=1 d=9.53043e-09 t=7834
rime 	Rime	c=1 d=0.00256704 t=7834
rong he 	融合	c=2 d=0.527292 t=7834
rong qi 	容器	c=1 d=8.48182e-05 t=7834
rong yi 	容易	c=1 d=1 t=6790
rou he 	柔和	c=2 d=1.25951 t=7834
ru 	入	c=1 d=1 t=7359
ru 	如	c=0 d=0.025284 t=7834
ru ci 	如此	c=1 d=6.92994e-10 t=7834
ru dang 	入黨	c=1 d=1 t=7703
ru guo 	如果	c=21 d=1.51323 t=7834
ru guo o 	如果哦	c=1 d=0.00941925 t=7834
ru he 	如何	c=3 d=0.26188 t=7834
ru jia 	儒家	c=1 d=1.18611e-08 t=7834
ru kou 	入口	c=2 d=0.486069 t=7834
ru tong 	如同	c=1 d=6.22414e-11 t=7834
ru xia 	如下	c=3 d=0.0102715 t=7834
ru xiao 	入校	c=1 d=0.000710174 t=7834
ruan gong 	軟工	c=1 d=1 t=7350
ruan jian 	軟件	c=2 d=0.123687 t=7834
ruan jian gong cheng 	軟件工程	c=1 d=1 t=7315
ruan jian kai fa 	軟件開發	c=1 d=5.96364e-08 t=7834
rui qi qian tiao 	瑞氣千條	c=1 d=1.11147e-08 t=7834
ruo 	若	c=1 d=0.308819 t=7834
ruo dian 	弱點	c=1 d=2.51707e-07 t=7834
ruo fou 	若否	c=1 d=0.591555 t=7834
ruo hua 	弱化	c=1 d=3.78297e-06 t=7834
ruo ji ruo li 	若即若離	c=1 d=2.30638e-08 t=7834
ruo shi 	若是	c=2 d=0.390628 t=7834
san da 	三大	c=-1 d=0 t=7834
san dao 	三刀	c=1 d=0.0280154 t=7834
san ge 	三個	c=1 d=0.14515 t=7834
san ge nv er 	三個女兒	c=1 d=0.0165727 t=7834
san ge ren 	三個人	c=1 d=1.24994e-07 t=7834
san gu 	三顧	c=4 d=1.22896 t=7834
san jiao 	三教	c=1 d=7.19868e-07 t=7834
san jiao yi jia 	三教一家	c=8 d=0.260542 t=7834
san shi nian qian 	三十年前	c=1 d=1.76065e-08 t=7834
san xiao 	三梟	c=1 d=0.349938 t=7834
sao miao 	掃描	c=1 d=1 t=6831
sha 	殺	c=3 d=0.0459593 t=7834
sha diao 	殺掉	c=1 d=0.0578443 t=7834
sha shou 	殺手	c=1 d=5.30206e-07 t=7834
shai xuan 	篩選	c=2 d=0.000582781 t=7834
shan 	閃	c=1 d=1.11704e-08 t=7834
shan bian 	善變	c=1 d=0.0284388 t=7834
shan chang 	擅長	c=2 d=0.157237 t=7834
shan chu 	刪除	c=5 d=0.229457 t=7834
shan yi ming bu xiang 	山醫命卜相	c=1 d=1 t=7337
shan yu 	善於	c=1 d=0.0285814 t=7834
shang 	上	c=17 d=0.72785 t=7834
shang 	傷	c=2 d=0.34745 t=7834
shang 	尚	c=0 d=0.1 t=7398
shang ban 	上半	c=0 d=4.32902e-05 t=7834
shang ban xue nian 	上半學年	c=1 d=0.000435072 t=7834
shang chuan 	上傳	c=2 d=0.851999 t=7834
shang gu 	上古	c=1 d=3.3138e-07 t=7834
shang hai 	上海	c=3 d=0.000837575 t=7834
shang ke 	上課	c=1 d=1 t=6736
shang le nian ji 	上了年紀	c=1 d=1.70009e-08 t=7834
shang mian 	上面	c=1 d=0.00210172 t=7834
shang pu 	商鋪	c=1 d=6.79294e-07 t=7834
shang shi 	上市	c=0 d=0.1 t=6941
shang shi ji 	上世紀	c=1 d=8.17312e-10 t=7834
shang shu 	上述	c=3 d=0.177286 t=7834
shang wu 	尚無	c=1 d=1 t=7720
shang yi ge 	上一個	c=1 d=0.913931 t=7834
shang yi ren 	上一任	c=1 d=1.38832e-07 t=7834
shao 	少	c=1 d=0.0228227 t=7834
shao wei 	稍微	c=1 d=0.00726273 t=7834
she ding 	設定	c=3 d=0.304337 t=7834
she hua 	奢華	c=1 d=0.00798652 t=7834
she hui 	社會	c=5 d=0.054204 t=7834
she hui xue 	社會學	c=1 d=1.60136e-10 t=7834
she hui zhu yi 	社會主義	c=3 d=2.81884 t=7692
she ji 	射擊	c=1 d=0.00562801 t=7834
she ji 	設計	c=8 d=0.00331726 t=7834
she ji mo shi 	設計模式	c=4 d=0.00539835 t=7834
she ji qi 	設計器	c=4 d=3.84152e-05 t=7834
she jiao 	社交	c=1 d=6.31821e-11 t=7834
she qu 	社區	c=1 d=8.91821e-07 t=7834
she tuan 	社團	c=1 d=0.000731802 t=7834
she xiang ji 	攝像機	c=1 d=0.00582847 t=7834
she ying peng 	攝影棚	c=1 d=6.64102e-09 t=7834
she ying shi 	攝影師	c=1 d=0.00565622 t=7834
she zhi 	設置	c=6 d=0.00122005 t=7834
she zhi ti 	設置體	c=1 d=6.73909e-05 t=7834
shen 	神	c=2 d=3.96507e-08 t=7834
shen bian 	身邊	c=1 d=0.371577 t=7834
shen dao 	沈導	c=1 d=0.00125578 t=7834
shen dao 	神刀	c=0 d=0.0285076 t=7834
